Set Name;Release Date;TCGPlayer Booster Product ID;TCGPlayer Booster Box Product ID;TCGPlayer Group ID;;
SV: Paradox Rift;November 3, 2023;512822;512821;23286;;
SV: Paldean Fates;January 26, 2024;528038;528771;23353;;
SV: Temporal Forces;March 22, 2024;532841;536225;23381;;
SV: Twilight Masquerade;May 24, 2024;543843;543846;23473;;
SV: Shrouded Fable;August 2, 2024;552997;553031;23529;;
SV: Stellar Crown;September 13, 2024;557331;557354;23537;;
SV: Surging Sparks;November 8, 2024;565604;565606;23651;;
SV: Prismatic Evolutions;January 17, 2025;593294;600518;23821;;
SV: Journey Together;March 28, 2025;610935;610931;24073;;
SV: Destined Rivals;May 30, 2025;624683;624679;24269;;
SV: Scarlet & Violet 151 (Extra);September 22, 2023;502000;504467;23237;;
SV: Obsidian Flames;September 8, 2023;501257;501256;23228;;
SV: Paldea Evolved;June 6, 2023;493975;493976;23120;;
SV: Scarlet & Violet (Base Set);March 31, 2023;476452;476451;22873;;
SWSH: Silver Tempest;November 11, 2022;283389;283388;3170;;
SWSH: Lost Origin;September 9, 2022;277324;277325;3118;;
SWSH: Astral Radiance;May 27, 2022;265519;265521;3040;;
SWSH: Brilliant Stars;February 25, 2022;256141;256124;2948;;
SWSH: Fusion Strike;November 12, 2021;247654;247646;2906;;
SWSH: Evolving Skies;August 27, 2021;242436;244337;2848;;
