2025-06-12T00:03:27: 2025-06-12 00:03:27,670 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:13:27 CEST)" (scheduled at 2025-06-12 00:03:27.640976+02:00)
2025-06-12T00:03:27: 2025-06-12 00:03:27,671 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T00:03:27: 2025-06-12 00:03:27,709 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:13:27 CEST)" (scheduled at 2025-06-12 00:03:27.679061+02:00)
2025-06-12T00:03:27: 2025-06-12 00:03:27,710 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T00:03:28: 2025-06-12 00:03:28,932 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:03:28: 2025-06-12 00:03:28,986 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:03:29: 2025-06-12 00:03:29,947 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:03:30: 2025-06-12 00:03:30,035 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:03:30: 2025-06-12 00:03:30,785 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:03:31: 2025-06-12 00:03:31,168 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T00:03:31: 2025-06-12 00:03:31,169 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:03:31: 2025-06-12 00:03:31,249 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T00:03:31: 2025-06-12 00:03:31,878 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T00:03:31: 2025-06-12 00:03:31,879 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:13:27 CEST)" executed successfully
2025-06-12T00:03:33: 2025-06-12 00:03:33,107 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T00:03:33: 2025-06-12 00:03:33,107 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:13:27 CEST)" executed successfully
2025-06-12T00:04:47: 2025-06-12 00:04:47,917 | discord.gateway | INFO | Shard ID None has successfully RESUMED session b0b86985bc243826a9b033a004bbe426.
2025-06-12T00:13:27: 2025-06-12 00:13:27,666 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:23:27 CEST)" (scheduled at 2025-06-12 00:13:27.640976+02:00)
2025-06-12T00:13:27: 2025-06-12 00:13:27,666 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T00:13:27: 2025-06-12 00:13:27,705 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:23:27 CEST)" (scheduled at 2025-06-12 00:13:27.679061+02:00)
2025-06-12T00:13:27: 2025-06-12 00:13:27,705 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
