date,quantity_sold,low_price,high_price,market_price,variant,condition
2024-06-10,0,0.0,0.0,0.0,Normal,Unopened
2024-06-17,0,0.0,0.0,0.0,Normal,Unopened
2024-06-24,0,0.0,0.0,0.0,Normal,Unopened
2024-07-01,0,0.0,0.0,0.0,Normal,Unopened
2024-07-08,0,0.0,0.0,0.0,Normal,Unopened
2024-07-15,0,0.0,0.0,0.0,Normal,Unopened
2024-07-22,0,0.0,0.0,0.0,Normal,Unopened
2024-07-29,0,0.0,0.0,0.0,Normal,Unopened
2024-08-05,0,0.0,0.0,0.0,Normal,Unopened
2024-08-12,0,0.0,0.0,0.0,Normal,Unopened
2024-08-19,0,0.0,0.0,0.0,Normal,Unopened
2024-08-26,0,0.0,0.0,0.0,Normal,Unopened
2024-09-02,0,0.0,0.0,0.0,Normal,Unopened
2024-09-09,0,0.0,0.0,0.0,Normal,Unopened
2024-09-16,0,0.0,0.0,0.0,Normal,Unopened
2024-09-23,0,0.0,0.0,0.0,Normal,Unopened
2024-09-30,0,0.0,0.0,0.0,Normal,Unopened
2024-10-07,0,0.0,0.0,0.0,Normal,Unopened
2024-10-14,0,0.0,0.0,0.0,Normal,Unopened
2024-10-21,0,0.0,0.0,0.0,Normal,Unopened
2024-10-28,0,0.0,0.0,0.0,Normal,Unopened
2024-11-04,0,0.0,0.0,0.0,Normal,Unopened
2024-11-11,0,0.0,0.0,0.0,Normal,Unopened
2024-11-18,0,0.0,0.0,0.0,Normal,Unopened
2024-11-25,0,0.0,0.0,0.0,Normal,Unopened
2024-12-02,0,0.0,0.0,0.0,Normal,Unopened
2024-12-09,0,0.0,0.0,0.0,Normal,Unopened
2024-12-16,0,0.0,0.0,0.0,Normal,Unopened
2024-12-23,0,0.0,0.0,0.0,Normal,Unopened
2024-12-30,0,0.0,0.0,0.0,Normal,Unopened
2025-01-06,0,0.0,0.0,0.0,Normal,Unopened
2025-01-13,0,0.0,0.0,0.0,Normal,Unopened
2025-01-20,0,0.0,0.0,0.0,Normal,Unopened
2025-01-27,0,0.0,0.0,0.0,Normal,Unopened
2025-02-03,0,0.0,0.0,0.0,Normal,Unopened
2025-02-10,0,0.0,0.0,0.0,Normal,Unopened
2025-02-17,0,0.0,0.0,0.0,Normal,Unopened
2025-02-24,0,0.0,0.0,0.0,Normal,Unopened
2025-03-03,0,0.0,0.0,0.0,Normal,Unopened
2025-03-10,0,0.0,0.0,0.0,Normal,Unopened
2025-03-17,0,0.0,0.0,0.0,Normal,Unopened
2025-03-24,202,320.0,449.95,350.87,Normal,Unopened
2025-03-31,206,319.94,398.9,321.64,Normal,Unopened
2025-04-07,683,269.95,321.59,274.84,Normal,Unopened
2025-04-14,360,274.84,320.0,318.21,Normal,Unopened
2025-04-21,229,275.0,318.22,287.68,Normal,Unopened
2025-04-28,468,267.92,310.49,269.95,Normal,Unopened
2025-05-05,402,260.71,310.49,268.57,Normal,Unopened
2025-05-12,822,260.49,310.49,265.12,Normal,Unopened
2025-05-19,710,249.8,310.49,263.32,Normal,Unopened
2025-05-26,1302,220.0,310.49,255.76,Normal,Unopened
2025-05-31,177,235.01,264.95,255.72,Normal,Unopened
2025-06-01,135,235.0,261.8,255.76,Normal,Unopened
2025-06-02,17,248.97,259.95,255.55,Normal,Unopened
