Set Name;Release Date;TCGPlayer Booster Product ID;TCGPlayer Booster Box Product ID;TCGPlayer Group ID;;
Scarlet & Violet: Paradox Rift;November 3, 2023;512822;512821;23286;;
Scarlet & Violet: Paldean Fates;January 26, 2024;528038;528771;23353;;
Scarlet & Violet: Temporal Forces;March 22, 2024;532841;536225;23381;;
Scarlet & Violet: Twilight Masquerade;May 24, 2024;543843;543846;23473;;
Scarlet & Violet: Shrouded Fable;August 2, 2024;552997;553031;23529;;
Scarlet & Violet: Stellar Crown;September 13, 2024;557331;557354;23537;;
Scarlet & Violet: Surging Sparks;November 8, 2024;565604;565606;23651;;
Scarlet & Violet: Prismatic Evolutions;January 17, 2025;593294;600518;23821;;
Scarlet & Violet: Journey Together;March 28, 2025;610935;610931;24073;;
Scarlet & Violet: Destined Rivals;May 30, 2025;624683;624679;24269;;
