set_name,date,volume_sold
SV: Destined Rivals,2025-03-24,179.19
SV: Destined Rivals,2025-03-24,70875.74
SV: Destined Rivals,2025-03-31,315.84
SV: Destined Rivals,2025-03-31,66257.84
SV: Destined Rivals,2025-04-07,134.68
SV: Destined Rivals,2025-04-07,187715.72
SV: Destined Rivals,2025-04-14,283.05
SV: Destined Rivals,2025-04-14,114555.60
SV: Destined Rivals,2025-04-21,686.28
SV: Destined Rivals,2025-04-21,65878.72
SV: Destined Rivals,2025-04-28,3626.74
SV: Destined Rivals,2025-04-28,126336.60
SV: Destined Rivals,2025-05-05,1392.71
SV: Destined Rivals,2025-05-05,107965.14
SV: Destined Rivals,2025-05-12,1710.54
SV: Destined Rivals,2025-05-12,217928.64
SV: Destined Rivals,2025-05-19,2347.86
SV: Destined Rivals,2025-05-19,186957.20
SV: Destined Rivals,2025-05-26,8506.50
SV: Destined Rivals,2025-05-26,332999.52
SV: Destined Rivals,2025-06-02,211.38
SV: Destined Rivals,2025-06-02,7112.28
SV: Journey Together,2025-01-13,90.53
SV: Journey Together,2025-01-13,23479.83
SV: Journey Together,2025-01-20,227.50
SV: Journey Together,2025-01-20,102643.79
SV: Journey Together,2025-01-27,132.45
SV: Journey Together,2025-01-27,153899.90
SV: Journey Together,2025-02-03,596.30
SV: Journey Together,2025-02-03,116794.02
SV: Journey Together,2025-02-10,770.88
SV: Journey Together,2025-02-10,126745.20
SV: Journey Together,2025-02-17,1267.99
SV: Journey Together,2025-02-17,157140.72
SV: Journey Together,2025-02-24,1000.67
SV: Journey Together,2025-02-24,139632.90
SV: Journey Together,2025-03-03,2043.72
SV: Journey Together,2025-03-03,148388.35
SV: Journey Together,2025-03-10,5082.32
SV: Journey Together,2025-03-10,106133.94
SV: Journey Together,2025-03-17,5924.07
SV: Journey Together,2025-03-17,145400.94
SV: Journey Together,2025-03-24,9696.12
SV: Journey Together,2025-03-24,125723.70
SV: Journey Together,2025-03-31,10194.03
SV: Journey Together,2025-03-31,60804.48
SV: Journey Together,2025-04-07,6638.10
SV: Journey Together,2025-04-07,29624.40
SV: Journey Together,2025-04-14,4431.00
SV: Journey Together,2025-04-14,23219.00
SV: Journey Together,2025-04-21,5894.22
SV: Journey Together,2025-04-21,16084.50
SV: Journey Together,2025-04-28,4146.40
SV: Journey Together,2025-04-28,18948.16
SV: Journey Together,2025-05-05,5490.45
SV: Journey Together,2025-05-05,11652.68
